Username,Ulasan,Keterangan
Monica Putri Ellentikasari,"Setalah 2 tahun ndak berkunjung banyak sekali perubahan disini... lebih tertata, lebih bersih dan rapi... untuk tiket hanya 15k saja... pelayanan nya ramah... tapi maaf untuk kandang hewan masih banyak yang kosong... kalo bisa ditambah lagi …",1
Oyip Gunawan,bosan ke ragunan sekali kali ke surabaya zoo sekalian main yang jauh jalan jalan piknik bisa gak tuh.,2
Ranidwiy27 AdiraKanza,"Bagus tempat na ,,,bnyak beraneka ragam binatang bagus buat edukasi anak",1
ShakiraShabira,Pas kesini gajahny ga ada banyak tempat yg lagi dalam perbaikan .. semoga kedepan nya makin bagus 😃 …,1
MEDIA EDUKASI,"Tempat hiburan Rakyat ini adalah aset legendaris yang dimiliki pemerintah Kota Surabaya.
Suasana yang teduh, rindang, dan sejuk ada didalam kebun binatang Surabaya ini. …",1
nurul kamila,"Cocok banget buat tempat rekreasi sekaligus edukasi untuk anak2. Mengenalkan banyak binatang baru yang jarang mereka lihat. Paling suka sih di aquarium, bisa melihat aneka ikan. Semoga bisa lebih beragam lagi deh ikannya. Ada beberapa spo …",1
Zulfikar Klt,"Tempatnya bersih, nyaman, meski harus jalan jauh dan banyak hewan yg kosong.. Tapi alhamdulillah anakku suka, hewannya aktif-aktif juga..",1
Ahmad Khotibul Umam,Murah sih biaya masuk. Banyak binatangnya. Terawat. Tapi sayangnya mahal jajanan didalam. Aku beli 2 popmie + esteh abis 50k.,0
Suka Damawanti Suhita,"tempat nya makin bagus loh buat wisata cari hewan hewan bagus tidak sekotor dulu udh bersih dan tiketnya cuma 15k aja, hrs udh vaksin dan scan peduli lindungin buat masuk. pas Weekend rame bgt!!",1
AREK PORONG OFFICIAL,"RECOMMENDED LIBURAN BERSAMA KELUARGA
EDUKASI ANAK- ANAK KEPADA HEWAN HEWAN YANG ADA DI AREA KEBUN BINATANG.
UNTUK KE AREA AQUARIUM IKAN HTM 30.000. …",1
Fety Firdaus Family,"Bagus, luas, terawat, rindang, bersih,
Minus ga bs ketemu gajah dan singa
Krn gajah sedang tidak dikeluarkan katanya. Yg singa gak tau kemana",0
Dessy Fitriana,"Tempatnya asik, nyaman dan cocok untuk keluarga. Selama masa pandemi hanya available reservasi tiket online H-1 ya ..
Agustus 2020 HTM 15000/person",1
Ngakip Susilo,"Kebun bintang, kebanggaan arek-arek Suroboyo. Saya datang kesini awal Maret, pas mau masuk ada pilihan parkir dulu, klo di Bonbin penuh, bisa di TIJ (Terminal Intermoda Joyoboyo). Trus klo motor ada dua juga, pintu Selatan sama Utara. Abis …",1
Novrizal Arisandi,"Kurang banyak pilihan hewan nya
Masjidnya bukan di pake sholat, malah di pakai tidur",2
NamirA Modes,Sekarang pembayaran SDH tidak pakai uang tunai...tpi melalui Brizzi/shopee pay/M-banking,0
maya lestari,"Tiket masuk murah meriah, hewan cukup bervariasi dan luas di alam terbuka
Kekurangannya kurang terawat, wahana boat tour tdk jelas tour apa? Bau tercium pas di dekat kandung burung. Semoga bisa lebih baik lagi setelah new normal terlewati",0
Rizky Kurniawan,"udah makin cantik banget, banyak spot foto dan tempatnya nyaman banget😍 …",1
Olyvia Santoso,"Setelah sekian lama, akhirnya nginjak kaki juga ke sini.
Tempatnya bersih kalau di bandingkan dengan beberapa tahun lalu yang hampir di setiap pojok bisa menemukan mangkuk p*pm*e. Mungkin karena pandemic jadi …",0
Safitra Karisma,"Semakin bagus kbsny
Hanya saja beli makanan didalam kbs sangat mahal
Tlong diperbaiki lg mengenai ini …",2
Zull,Kesana pas musim liburan jadi lumayan rame.. Tiket 15k per orang bisa di beli langsung,0
surabaya berontak,Tiket HTM 15k saja msh murah ternyata cmn syg bgt hewan nya pada kurusan smua,0
Faris Firmansyah,Kebun binatang kesayangan warga surabaya yang sudah ada sejak tahun 19an. Buat sekarang sudah sangat maju dibanding dulu. Banyak kandang yang direnovasi dan kesehatan hewannya yang terjaga …,1
Andi,"Kebun binatang sangat cocok untuk sarana edukasi dan rekreasi keluarga terutama anak-anak. Harga tiket yang murah, cukup Rp 15.000 per orang. Saat saya berkunjung hanya ada loket non tunai yang buka, artinya pembayaran menggunakan QRIS …",1
Selvi Khusnul Kh,"hewannya sudah pada tua, terutama buaya dan orang utannya..tapi skrg sudah bagus dn tertata rapi..enak buat jalan2..bersih",1
Kenzie Rahendra,"Setiap tahun pulang ke surabaya selalu mampir ke KBS.
Maklum di indramayu gak ada kebun binatang..
Jadi wajib mampir ksni klo pulkam k surabaya. …",1
imam fauzi,"Tempat Rekreasi keluarga di tengah kota Surabaya.
Tempat edukasi tentang satwa untuk anak2. …",1
Setia Devi Kurniasih,"Sewaktu kesana pada hari kerja, cukup ramai tp tidak terlalu sesak.
Beberapa wahana lebih banyak ditutup, seperti pemberian makan, atraksi hewan, menunggang hewan, dan beberapa hewan yg terlihat tidak terlalu banyak. Tp cukup untuk mengedukasi anak².",0
Adisti Hidayatullah,"tempatnya luas.. bagus untuk edukasi anak2. cm sayang gak ada fasilitas mobil atau sepeda listrik, jauh2 jdi capek jlan kaki 😅 …",1
Dafi,Sekarang tempatnya lbh bagus dan tertata.. Bersih juga. Lumayan untuk wisata edukasi buat anak2,1
Faisal Ardiansyah,"Selain bwt rekreasi, bsa jg untuk wisata pendidikan..
Htm 15k doang..
Msuk prkir mobil 8k.. …",1
Gani Kurniawan,"Wahana Satwa dan Flora satu-satunya di Surabaya ini sudah jamak orang kenal. Berdiri sejak 31 Agustus 1961. Dirintis di jaman kolonial Belanda. Dahulu bernama Soerabaiasche Plantenen Dierentuin. Konon, berdirinya Kebun Binatang Surabaya …",0
Ela Emeraldy,"Tempatnya sekarang bersih, rindang, dan nyaman. Cocok digunakan untuk tempat piknik bareng keluarga. Cocok juga untuk anak-anak, karena bisa mengenal dan mengetahui hewan dari luar maupun dalam daerah. Pokoknya kbs the best lah 👍 …",1
Ratu As-Sakinah,"Kebun binatangnya sudah mulai terawat, bagus, banyak berbenah disana sini. Kalian bisa melihat atraksi gajah, atau berkeliling naik unta atau bisa juga memberi makan jerapah. Atraksinya cuma ada di jam tertentu. …",1
Djoko purwanto,"Tiket masuk aquarium cukup mahal.
40 rb per 30 mnt.
60 rb per 60 mnt. …",2
Putri Retno Miranti,Tempat wisata keluarga yang ramah kantong dan kid friendly. Lokasi di tengah pusat kota surabaya. Terakhir harga tiket masuk 15.000. Hanya saja yang di sayangkan tempat parkir mobil waktu peak season susah karena harus jalan jauh. Dan kandang gajahnya masih di renovasi. Hewan-hewan lumayan banyak.,0
rizka fauziyah,"Bersih, ramah anak, tempat yang menyenangkan untuk liburan keluarga. terus tingkatkan kualitas dan kenyamanan terutama tempat berteduh ☺",1
Rendy Dwi Widyaswoko,"Kebun binatang kebanggaan warga kota Surabaya. Renovasi dan pembangunan yang dilakukan oleh pihak pengelolanya membuatnya lebih baik, bersih dan tertata. Koleksi hewannya cukup lengkap dan bervariatif. Harga tiket masuk yang hanya Rp …",1
Kenzie Raka Romero (Raka),"Seru banget tempatnya, tapi ada bau pup hewan sih. Tapi rekomendes banget buat ajak anak kecil atau outbound disini. Yuk berkunjung disini!",1
Yn azizah,"Recommended buat jalan- jalan santai bersama keluarga, tempatnya yang lumayan luas bisa juga digunakan piknik bersama keluarga 🌻 …",1
Shinta Nuril,Setiap hari buka harga 15k. Anak diatas 80cm kena ya. Aku kesana pas tahun baru jadi rame banget sumpah jadi nya kotor tempat e. Soal makanan minuman boleh dibawa masuk ya. Makanan minuman didlm harga 2×lipat dari biasanya. Hewannya cuma dikit. Kebun binatang nya aja yg gedee. Rimbun dingin banyak pohon. Ig @kebunbinatangsurabaya,0
Venny Aprilia,"Sekarang jauh lebih bagus kebun binatang nya , tapi sayang masih ada aja pengunjung yg habis makan bungkus nya digeletakin gitu aja padahal tong sampah tersedia dimana-mana , semoga masyarakat lebih sadar untuk menjaga kebersihan bersama2 dan dimanapun tempatnya",0
Julius Farid,Murah dan tempat wisata LEGENDA sejak saya TK thn 1977 umur 6 thn penuh kenangan pertama kali ke Surabaya masuk Bon Bin dibelikan boneka Angsa warna Merah Putih th 1977 skrg sm ank yg juga TK ... senangnya bukan main,1
dina Aprilia,"Bersih,nyaman, bbyak spot foto.
dri dulu sampai sekarg jadi tempat favorite keluarga kalau berliburr..",0
Kus Yanto,Lebih baik dgn adanya petunjuk arah yg lebih jelas terang jadi tdk bingung wisatawan lokal dan luar,1
candri maulida,"Tempat wisata keluarga yang murah meriah di surabaya, cocok bawah anak² kesini untuk mengenal satwa, saran untuk weekend klau parkir jangan di luar Kebun binatang karna lumayan mahal..",0
Syariful Hadi,"Pengelolaan tempatnya sudah lebih baik daripada yang dulu, tempatnya bersih dan juga nyaman untuk jalan-jalan berkeliling. Mungkin saran agar pihak pengelola menambahkan papan peta agar pengunjung mengetahui lokasi mana saja yang bisa dituju dan rute yang disarankan.",1
Irfan Ade Gilang,"KBS merupakan kebun binatang yg pernah terlengkap se-asia tenggara, di dalamnya terdapat lebih dari 981 spesies satwa yang berbeda yg terdiri lebih dari 2.806 binatang. Termasuk di dalamnya satwa langka Indonesia maupun dunia terdiri dari Mamalia, Aves, Reptilia, dan Pisces",1
Caesar Demas,Tempat rekreasi keluarga yang terjangkau di area Surabaya. Harga tiket 15 ribu cukup sebanding dengan suasana asri dan koleksi binatang yang cukup variatif. Saran agar dapat ditingkatkan tingkat pengawasan terhadap potensi kerumunan di …,1
Putri nailul Muna,"Kebun binatang surabaya. Bagus tempatnya cuma pegel nih kaki jalan trus, ade saya sangat senang kesini, ayah dan ibu saya juga sosweet hehe, disitu anda akan melihat rumah Squidward, tapi masuk dulu kerumah aquarium and dont forget siapkan duit ada tiketnya hihi",1
moh khafidzar,"Ingin mengajak anak-anak ke tempat wisata Surabaya yang edukatif? Kamu dan keluarga bisa mampir ke Kebun Binatang Surabaya (KBS). Selain berkesempatan mengenalkan satwa-satwa langka ke anak-anak, kalian pun dapat melarikan diri sejenak dari …",1
sugi yanti,"Banyak spot foto,, tiket masuk murmer cocok utk liburan dg keluarga besar dari luar kota",1
Ario Sinergi,"Mantap, murah meriah cocok utk wisata lokal dengan keluarga.
Tempat nya juga bersih dan nyaman...",1
Nurkhalis Sosio,"Layak untuk menjadi destinasi wisata kebun binantang setiap minggunya. Mulai dari Jerapah, gajah, Harimau dan hewan buas serta jinak lainnya...",1
madiyanto bin wasmin (madigembul),"2003 pernah lewat doang ga sempet foto, akhirnya kesampean juga di 2022..  simbol destinasi klo anda pernah ke surabaya",1
Bilqis Inayatillah,"It's been a long time not there.
Terakhir kesini gk tau kapan, mgkin hampir 10th yg lalu. Perkembangannya semakin kesini semakin bagus, koleksi hewan bertambah tp masih hewan yg ""umum"" ya, byak …",1
tri darmiati,"Protokolnya di masa pandemi ini 👍, didalamnya pun banyak perubahan . Tambah bersih dan banyak spot foto menarik. Tapi untuk koleksi hewannya berkurang, singa dan harimau cuman beberapa ekor saja. …",1
Rian Nunuhitu,Semoga lbih banyak hewan lagi ke depan,0
Adinda Qurota,"Bagus banget, bisa melihat berbagai binatang. Cocok buat refreshing atau tempat liburan sama anak kecil, pasti suka dan bisa tau nama-nama binatang.",1
Wahyu Aditya,"Murah meriah, cocok banget buat keluarga apalagi sekarang ada satwa baru. Jadi lebih ramai. Bisa memberi makan satwa, juga ada wisata seperti naik kapal di danau dalam area",1
freak man,"Lumayan buat menyenangkan anak².
Untuk aquarium sangat² mengecewakan.
Ikan hanya sedikit,kurang perwatan dan harga tiket terlalu mahal.
Mendingan di pasar ikan gunungsari gratis dan variasi ikan lebih banyak",0
Eny Mimi,KBS sekarang jauh lebih asri dan sejuk d banding berapa puluh tahun dulu ketika saya masih SMA.Dengan begitu kita lebih nyaman berjalan jalan sambil belihat lihat binatang yg beragam,1
Bambang Sugi Hartawan,Tiket masuk aquarium trll mahal jadi sepi. Tdk ada yg baru di wahana aquarium mahal skli 1 orang 30 rb. Mohon diperhatikan dr pihak kbr. Trmksh,2
Gadis Tali Q.I.,"Wisata ramah pengunjung, murah, dan menyenangkan. Fasilitas umum tersedia dengan baik, papan penunjuk juga sangat jelas",1
Imelda tammu,Bagus sih tiket terjangkau hanya 15 rb.tpi harus pke aplikasi yg bikin ribet.kalau beli langsung dilokasi hrs ada kartu dulu dan biayanya 20rb,0
Linda Hartantien,Sudah lebih bagus banyak spot fotonya tetapi seperti nya hewanya sudah berkurang tidak sebanyak dulu cocok untuk rekreasi keluarga,2
Agnes Riska,"Tiket masuknya murah, lokasinya lumayan lebih bersih daripd dulu. Cuma ada sbgian tmpt yg msh bau kotoran hewan. Binatangnya lumayan bnyk drpd dulu. Tmpt parkirnya trllu sempit jadi susah buat keluarin motor, petugas bagian parkir jg terkesan arogan tidak ramah.",0
Mazroatul Ilma Diniyah,"Menyenangkan. Bukan hanya liburan, tapi juga bisa menjadi sarana belajar bagi anak-anak. Sekarang fasilitasnya lebih baik dan bersih.",1
Snowdrop farisaprasetyo,"Kebun binatang bersejarah, salah satu tempat edukasi anak yang terbaik di Surabaya. Tempatnya sekarang sudah jauh lebih baik dari beberapa tahun yang lalu. Bersih, rindang, hewannya terawat, banyak spot untuk foto, dan arena bermain untuk anak. Tapi sayangnya untuk burung Pelikan kandangnya terlalu sempit. Kasian sekali melihatnha",1
Afifur Rokhman,"tempat favorit kesukaan anak kecil untuk lihat bermacam hewan.. makanan piknik bawa dr rumah, tinggal cemilan cr d tempat",1
Magista Bella Puspita,"Sebenarnya tempatnya luas, bagus, dan bersih. Sayangnya hewan hewannya tampak kurang terawat. Banyak yang kurus dan lemas. Hewannya tidak lengkap. Kandang kandang hewannya pun banyak yang kosong. Saya paling kasian dengan otternya dia …",2
Ha Lo,"Bagus tempatnya, meski siang2 jam 11 suasana ga terlalu panas.
Tiketnya 15rb, anak2 di atas 2th sudah bayar tiket sendiri. Sayangnya, makanan/minumannya mahal banget dan ga enak. (Misal milo tp anyep kebanyakan air, ato …",1
Yusuf Sally,Cukup bagus cuma pas lagi ramai parkirnya ada d atas gedung dtc,0
Farahdhita Febriyanti,"Mohon dievaluasi lagi perihal keamanan di Area Kandang Harimau, karena jarak kandang dengan jalanan pengunjung sangat dekat. Tidak ada pembatas tinggi. Ngeri sayaaa 🙏🥲 …",2
New Insight,"Sekarang sudah lebih terawat daripada dulu. Kekurangannya cuman satu sih, banyak nyamuk di beberapa spot. Disarankan bawa lotion anti nyamuk yah terutama untuk anak anak. Harga tiket sesuai. Kebersihan lebih terjaga. Tinggal para pengunjungnya yg harus tertib",0
Nofi Anggraini,"Sekarang jauh lebih bagus dan bersih.
HTM hanya Rp. 15.000,- sangat murah menjangkau ke semua kalangan.
Satwanya banyak varian tapi yg paling banyak populasinya adalah rusa …",1
Faraqna Belvadyka,"Tempatnya semakin bagus dan bersih dari tahun ke tahun, bunga bunganya juga tertata dengan baik, dan jarang sekali ada kandang yang kosong, hampir semua ada binatangnya. Tiketnya juga lumayan murah, hanya 15 rb, dan untuk masuk akuarium …",1
Audia Narayani,"Tempat kenangan sejak maba 😂 lama engga kesini, ternyata beberapa titik ada yang masih direnovasi. Dan beberapa lagi sudah direnovasi hehehe. Ingat jaman maba dulu kuliah gambar bentuk harus kesini buat belajar gambar binatang 😂😂. Htm masih …",0
Amelia Nur Azizah,"Tempatnya bersih, tertata dan teratur dengan baik. Juga sekarang fasilitasnya lebih lengkap lagi. Ada masjid, bisa kasih makan hewan juga, spot fotonya aesthethic, banyak tempat duduk di berbagai spot juga banyak yang jualan. Wajib berkunjung kesini saat weekend bersama keluarga dan orang terdekat.",1
Ayu Diah Amini Putri,"Karena pas disana weekend
Jadi bener2 banyak orang pol
Jd nggk bisa maksimal lihat2 lainnya",0
Triana Nana,"Tempatnya smkn tertata, bersih dan bagus serta layak dikunjungi terutama anak2. Bisa piknik makan bersama keluarga di tempat yg sdh ditentukan.
Anak2 pengalaman kasih makanan ke hewan2 tertentu.",1
Bagus PG,"Harga tiket 15k/org , tempat lumayan bersih tp msh butuh perawatan dan kesadaran dr masyarakat, saya msh menemui banyak msyrkt yg membuang sampah smbrngn, bahkan ada yg membuang bekas makanan ""bontotan dr rumah"" di dlm rumpunan tanaman, …",2
Gin Sugito,"Update awal Juni 2019

KBS sudah berubah banyakkk semenjak dihandle Pemkot Surabaya. Perubahan dimulai …",1
Nando Putro,Banyak tukang parkir liar yg membuat pengunjung harus parkir jauh dari lokasi parkir yg disediakan kebun binatang SBY,2
nur Rahmawati,"Tiket Masuk aquarium 20rb  (ikan &ular)
Tiket perahu 15rb
Aneka es rata rata harga 10rb",0
L Santi L,"Saya kesana weekend plus libur panjang anak sekolah, jadinya lumayan rame.. Harga tiket 15.000 per orang, anak diatas 2tahun (kalo tdk salah) bayar penuh. Tampilan lebih cantik dr bbrp bulan lalu saat ksini. Hanya saja, ada bbrp kandang kosong tidak ada isinya. Lumayan untuk mengisi libur sekolahnya anak.",0
Nila Khoirun Nayla,"Sudah 2x ke kebun binatang dan menyenangkan sekali. Harga tiketnya jg murah, cocok sekali untuk mengajak anak² mengenalkan hewan² yg ada disana.",1
Agung bolodewo_vlog,tempatnya sangat bersih yuk buruan cek sendiri banyak makanan yang lezat didalam,1
Sudiro Jati,"Perlu dilestarikan, management pengelolaan di tingkatkan lagi, tolong untuk di beri fasilitas toilet umum yang lebih banyak demi kenyamanan pengunjung, tidak hanya satu",2
Tri Widayanti,Walaupun binatangnya mulai berkurang tapi selalu tetap jadi tujuan wisata untuk anak2 baik dari sekolah maupun acara keluarga.  Dapat mengenalkan berbagai macam binatang termasuk binatang dari daerah dan negara lain.  Ada juga arena bermain …,1
Bin Iedrus Channel,Family time bersama keluarga dengan nuansa suaka marga satwa. Musholla full AC jadi bisa beribadah dengan nyaman .,1
Iffa Rahmatul Husnia,"Parkir mobil terlalu jauh, naik gajah juga sudh ditiadakan. Tapi tiket masuk yg masih murcee ajaa sejak dulu, ini nih yg bkin ttep banyak pengunjungnya👍👍 …",2
Riski Dading,"Menyenangkan, seru, tambah wawasan tentang fauna yang tersebar di seluruh penjuru dunia dan pastinya mensyukuri nikmat dari Allah akan fauna-fauna tsb. Di negara konflik banyak sekali tempat-tempat kumuh akibat perang tak kunjung usai.",1
Wahyu Suseno,"Entah Sudah Berapa Kali Kesini,
Kebun Binatang Surabaya Yang Merupakan Salah Satu Ikon Kota Surabaya, dan Juga Salah Satu Tempat Wisata Yang Ada Di Kota Surabaya, …",0
Retnosari22 Sariretno22,"Tempat nya adem...dan sejuk tpi kurang nya itu yg jual makanan dikit,banyak jual minum nya dan camilan,ada sih makan kebanyakan bakso sama soto,coba deh di tambah stan makanan nusantara gitu",0
Stephen Sutanto,"Tiket masuk sangat terjangkau, saran untuk pengurus : tracknya di rapikan, diberi panduan arah yg jelas agar tdk bingung arahnya (saat ini arah di jalan sdh pudar)",1
nanang efendi,Wauuu sangat ramai sekali lho klo dah  weekend jgn lupa mampir Yo klo butuh automatis khususnya Mitsubishi hub aja Nanang Efendi 081295738883,0
Ananda Lusiana,Bisaa buatt edukasi budakk kicik kicikk namunn sayangnyaa baukk wkwkw tapii maklumm namanya juga kebun binatangg,0
tami uut,Menurutku g sebagus waktu AQ masih kecil tapi untuk tmpt selain mall ok lah,0
pee'ta pesek,Kebun binatang yg luas bersih dan hewannya banyak... Monyet² banyak gelayutan di pohon². Tapi gak nyerang pengunjung. Harga makanan di dalem kebun binatang pun juga relatif gak mahal.,1
Fitriyah Arifin,"Wwwaaaaaauuuuu... Sekarang bonbin kerenlah... Bersih, cantik, rindang, satwanya sehat2,, kece banget kalau buat foto.. Yang buat aku surprise lagi tiketnya masih 15 ribu... Murah banget kan... Tp jangan coba2 ya menyelundupkan anak kecil …",1
Caution Imel,Y lumayan buat anak senang cuman staf karcisnya kalau ngejelasin kurang ramah,2
Nita Anggraini,"Rame banget kalau weekend.
HTM cuma 15K. Di bawah 85cm free. Hari minggu ngantre gajah berjam jam hahaha",1
la nina,"sejuk adem, banyak pohonnya, kebersihan kandang hewannya tolong diperhatikan",1
Willsan Willyanto,"Cool keren sumpah bnyak hewan menarik kuda nilnya gemoy bgt
Cmn aquarium nya kurang bnyak yg nga ada ikannya",1
Mahru Indrajaya,"Setelah sekian tahun, akhirnya mencoba berkunjung ke Kebun Binatang Surabaya.
Dengan harga tiket Rp 15,000/orang masih sangat terjangkau untuk semua kalangan. …",1
Moch Ichsan,"Kandangnya kenapa banyak yang kosong, pemeliharaan nya jg kurang maksimal saya liat di sana beruangnya pada lemes monyet nya nglamun jerapahnya pada bengong kasian juga mereka sendiri ga ada temen ngobrol semoga ada perbaikan",2
Ayu Fauziah,"Kbs skrg lebih bagus, banyak spot foto yg menarik. Selain itu tempatnya bersih dan dibebaskan membawa makanan dari luar. Hanya saja yg meresahkan penjual mainan.. hampir setiap kandang ada penjualnya. Membuat anak tidak fokus untuk …",0
Arliza,"Tempat yang cocok untuk mengisi hari libur,mengedukasi anak², quality time bersama keluarga & menambah wawasan bagi segala usia. Sangat aman bagi anak kecil, fasilitas umum tersedia(toilet&mushola), lokasi yang strategis dan mudah …",1
Fahd Leopard,Pengalaman berlibur yang sangat berkesan dan sulit terlupakan bareng keluarga tercinta. 🥰 …,1
rio asnan,"Senang sekali, anak2 bisa mengenal binatang, asal usulnya dll, ada wahana utk bermain anak. berangkat pagi pulang sore anak2 masih belum puas.",1
syan sari,"Udah lumayan sekarang udah ada spot buat foto².. tp tolong hewannya ditambah .. kemaren sempet liat di satu kandang ada burung dara, ayam, sama tikus (tikus yg biasa dirumah) 😅 …",0
Dian Lestari,"Tambah tahun tambah bagus sih ,banyak tambahan tempat ,harga tiket masuk terjangkau tp jangan kaget didalam ada tempat tambahan yg menarik kayak aquarium, naik perahu,dll.tentunya dengan ada loket pembelian tiket lagi ..😀 siap-siap kantong yg tebel pkoknya …",1
fatma ariana,"Bersih, luas, rindang. Anak2 suka. Sayang ada beberapa hewan yg tidak ada seperti gajah & macan, sebagian fasilitas jg sedang dalam tahap perbaikan/pembangunan. Maju terus KBS.",1
Pradana Ady Putra,"Tiket masuk 15rb, dengan fasilitas di dalam cukup lengkap, untuk masuk area aquarium beli tiket lagi 10rb, untuk kondisi sudah cukup baik di bandingkan berberapa tahun yang lalu, hanya saja masih harus ada berberapa pembenahan, baik bidang staff maupun fasilitas, maju terus kebun binatang surabaya 👍 …",1
Lisa Royo,"KBS sekarang banyak perubahan daripada 3th lalu. Hewannya lumayan lengkap yg mana 3th lalu tidak ada jerapah sekarang ada.
Banyak tempat duduk dan area2 istirahat ato tempat untuk foto2. …",1
Rosa Masyita,"Wisata edukasi untuk semua umur, lokasi yang asri ditengah kepadatan kota Surabaya. Sangat inspiratif dan edukatif. Dan juga banyak spot foto serta sangat Instagramable 😎✌🏻 …",1
Aminatus Zuhriyah,"Kebun binatang surabaya ( kbs )
Memiliki beberapa hewan seperti gajah , komodo , harimau , kuda nil , kijang , macam 2 ikan , jerapah , monyet , unta dan lain lain . Kbs ini sangat cocok …",1
Rizky Rustanti,"Sangat bagus untuk anak..agar bisa tahu tentang macam2 binatang...karena saya datang saat hari libur,jadi KBS ini sangat ramai oleh pengunjung",1
Sugeng Candra Kirana,"petunjuk parkir roda 4 perlu di perjelas lagi,supaya ndk banyak mobil parkir liar di pinggir jalan...",2
kenzie prabowo,Lumayan wisata edukasi... Yg ad dsby... Utk anak2 mengenal hewan... Dl wahana ikan gratis skrg berbayar... Syg pengunjung suka jorok buang sampah sembarangan krn terlalu banyak yg jual jajanan ddlm... Cb ad e-bike gt... Jd anak2 gak capek jln...,0
muchamad aries,"Di pusat kota, weekend cukup padat ramai pengunjung. Rekreasi yang lokasinya strategis & cukup murah htmny.",0
Trey Saputra,"Binatangnya masih kurang banyak, banyak hewan yg belum masuk kategori di dalam kandang",2
Lathifah Annur Fauzi,"Akhirnya buka lagi setelah libur panjang karna ppkm.. Kesini pas weekday, udh rame bgt.. Apalagi pas weekend🤭 baguuss♥️🍂 …",1
irda ameg,"Datang ke KBS di hari libur nasional, wuu ramai syekali bund...",1
Ferdiansyah,"Luas memang tempatnya, tapi masih banyak pengunjung yg kurang sadar akan membuang sampah pada tempatnya, dan masih ada beberapa bagian kandang yg masih kosong belum diisi.",2
Citra Anggun,"Mungkin krn beberapa hari yg lalu ada gajah yg mati, jadi areal gajah ditutup
Ada pengerjaan juga di kandang monyet , saat penuh2nya pwngunjung pula
Tapi masi bisa lah buat referensi bagi yg pengen jalan2 ngisi liburan anak sekolah tanpa ke luar kota",0
chandra oktav hidayah,Lumayan buat nguras tenaga dengan berjalan ngelilingi KBS..... 🤣 …,0
audri yurikatera,"Wisata murah untuk keluarga. Banyak booth utk jajanan, ada foodcourt juga. Lmyn bersih krn petugas kebersihan sering keliling utk mmbersihkan sampah berserakan",1
Saeful Bahri,"Kalo ke Surabaya wajib mampir kesisni ajak keluarga liburan, dijamin gakan nyesel😉 …",1
hendi vip,"Kebun Binatang Surabaya semakin berbenah, semakin nyaman berwisata di KBS. Mobil dapat diparkir di TIJ yang memiliki tempat parkir yang luas. Akan lebih baik jika dibuatkan pintu masuk setelah menyeberang dari parkiran TIJ.",1
Arum Widi Febrianti,"Ngehabisin hari minggu ke kbs sama pacar jg recomen sih wkwkwk seru2an.
Btw kalo mau pesen tiket sekarang harus melalui online gabisa langsung beli di tkp.",1
Ananda Putri Damayanti,"Tempat family time yg sangatd terjangkau bangetttt, cocok buat yg kalo hari libur mau jalan jalannya kmn",1
Anggra Eni,"Kebun binatang surabaya cocok banget untuk memberikan edukasi tentang hewan kepada anak2, letaknya yang sangat strategis, dengan tiket masuk yang lumayan murah hanya Rp. 15.000. Sayangnya di kebun binatang ini, sekarang hewannya tidak …",0
Oryza Putri,Masa ga boleh pick up penumpang grab di area KBS pintu masuk selatan??? Tolong dong management nya kasian orang luar kota surabaya yg mau order online,2
Isna Fatkhiana,"Tempat luas dan asri. Pepohonan rindang. Fasilitas lengkap mulai dari musholla, toilet dan kantin. Sangat tepat untuk tempat liburan keluarga. Terdapat spot foto yang menarik sekali.",1
kautsar tirta,"Tiket masuk 15 rb aja
Murah kan yak
Nanti didalem kalo mau pake toilet bayar 2000 …",0
Yudis Blues,Sangat asik mengajak anak dan istri untuk berlibur dsini fasilitas cukup memadai,1
Suprapto Prapto,Sangat cocok untuk rekreasi bersama keluarga dan bisa dijadikan sarana edukasi bagi anak anak,1
M Lambang Aditya,"Bagus, meski sudah rame, tempat ini selalu berasa lega, karena luas banget. hewan2 sehat, cm pengunjung masih suka buang sampah sembarangan. Aquarium yg berasa kurang terawat",2
Yuniarij7,"Tempat wisata dengan nuansa binatang. Cocok sekali untuk usia balita hingga dewasa. Ikon nya kota Surabaya. Semakin berkembang penataannya, Instragramable sekali. Banyak lahan untuk bersantai dan juga piknik. Selalu ramai tiap weekend …",1
Teddy Wahyono,Tempat yang sangat menarik untuk mengajak anak-anak jalan jalan sambil belajar mengenal berbagai hewan secara langsung dari dekat. Masalah tempat buat duduk santai atau penjual berbagai makanan dan minuman tersedia lengkap. Ticket masuknya …,1
Liza Indrawati,"Terakhir kesana 9 bulan lalu bayar 15rb naik kapal bayar 10rb flying fox 10rb masuk aquarium bayar 10rb tempatnya ber-AC mayan dingin, hehehe naik gajah lumayan shock kena 75rb (include breakfast dan photo) naik unta 10rb …",0
bintang prakoso,"Salah satu tempat wisata yang ada di Kota Surabaya. Lokasi berada di tengah kota. Akses sangat mudah untuk ke lokasi. Kebun Binatang Surabaya memiliki beragam koleksi hewan hewan yang ada di dunia, mamalia, primata, aves dll.",1
